ticket_id,channel,date_opened,hour_opened,request_type,first_response_hours,resolved_first_contact,satisfaction_score
T70413,Email,2026-05-10,10:00,Complaint,49.8,Yes,2
T70414,WhatsApp,2026-09-14,11:00,Order status,25.9,No,2
T70415,Email,2026-06-02,13:00,Account change,7.2,Yes,4
T70416,Phone,2026-04-15,14:00,Refund request,0.4,No,4
T70417,Web form,2026-05-14,10:00,Order status,62.8,No,2
T70418,Email,2026-07-18,14:00,Account change,16.6,Yes,3
T70419,Phone,2026-05-20,14:00,Complaint,0.7,Yes,3
T70420,WhatsApp,2026-08-16,09:00,Order status,61.7,No,1
T70421,Phone,2026-09-18,18:00,Refund request,0.3,No,5
T70422,Web form,2026-04-26,08:00,Account change,26.7,No,3
T70423,WhatsApp,2026-07-16,13:00,Refund request,40.3,No,1
T70424,Web form,2026-05-13,17:00,Refund request,73.0,No,2
T70425,Email,2026-09-03,12:00,Product question,47.0,No,2
T70426,Email,2026-06-28,13:00,Delivery issue,95.2,Yes,1
T70427,Web form,2026-04-17,08:00,Product question,67.8,No,2
T70428,Phone,2026-06-06,13:00,Complaint,0.7,Yes,3
T70429,Email,2026-05-09,14:00,Product question,47.4,Yes,2
T70430,Phone,2026-09-08,12:00,Account change,0.6,No,3
T70431,WhatsApp,2026-07-07,08:00,Complaint,16.0,No,3
T70432,Web form,2026-09-07,09:00,Delivery issue,89.5,Yes,2
T70433,Walk-in,2026-05-09,13:00,Complaint,0.1,Yes,5
T70434,WhatsApp,2026-08-02,16:00,Order status,9.9,No,3
T70435,Phone,2026-08-28,08:00,Delivery issue,0.8,Yes,3
T70436,Walk-in,2026-05-02,12:00,Delivery issue,0.1,No,5
T70437,WhatsApp,2026-07-16,08:00,Complaint,14.1,No,3
T70438,Email,2026-05-24,16:00,Technical problem,58.4,No,1
T70439,Email,2026-07-04,14:00,Order status,11.5,No,4
T70440,WhatsApp,2026-09-13,15:00,Refund request,19.5,Yes,3
T70441,Email,2026-04-19,08:00,Account change,17.8,No,3
T70442,Walk-in,2026-07-20,08:00,Order status,0.1,No,5
T70443,Phone,2026-06-23,13:00,Product question,0.9,Yes,3
T70444,Web form,2026-07-02,17:00,Complaint,75.4,No,2
T70445,Phone,2026-06-25,12:00,Technical problem,0.2,No,5
T70446,Phone,2026-07-18,08:00,Technical problem,1.5,No,2
T70447,Phone,2026-08-08,18:00,Technical problem,0.4,Yes,4
T70448,Web form,2026-07-17,16:00,Complaint,9.6,No,5
T70449,WhatsApp,2026-04-22,15:00,Delivery issue,4.5,Yes,5
T70450,Phone,2026-08-25,17:00,Technical problem,0.6,Yes,3
T70451,WhatsApp,2026-06-07,15:00,Complaint,17.5,No,3
T70452,WhatsApp,2026-05-08,15:00,Product question,14.6,Yes,3
T70453,Email,2026-09-26,13:00,Account change,8.1,No,4
T70454,Email,2026-07-13,11:00,Delivery issue,84.1,Yes,1
T70455,Email,2026-07-05,17:00,Delivery issue,17.8,Yes,3
T70456,WhatsApp,2026-08-13,15:00,Order status,13.4,No,3
T70457,Email,2026-06-11,11:00,Account change,59.5,No,1
T70458,Email,2026-04-10,16:00,Account change,28.8,No,2
T70459,Phone,2026-07-05,08:00,Account change,0.4,No,4
T70460,Web form,2026-07-14,13:00,Product question,43.8,No,2
T70461,WhatsApp,2026-08-09,14:00,Order status,15.9,No,3
T70462,WhatsApp,2026-07-01,17:00,Complaint,4.4,No,5
T70463,Email,2026-08-13,08:00,Product question,7.6,No,4
T70464,Web form,2026-04-23,12:00,Complaint,55.2,No,2
T70465,Phone,2026-07-07,14:00,Delivery issue,0.3,No,5
T70466,Email,2026-05-05,12:00,Product question,46.3,No,2
T70467,Phone,2026-05-28,16:00,Order status,0.6,Yes,3
T70468,Email,2026-06-09,12:00,Complaint,8.7,No,4
T70469,Email,2026-08-05,13:00,Delivery issue,16.9,No,3
T70470,Email,2026-08-15,12:00,Delivery issue,85.0,No,1
T70471,Email,2026-06-09,17:00,Account change,22.0,Yes,3
T70472,Email,2026-04-16,18:00,Refund request,16.1,No,3
T70473,Phone,2026-09-05,18:00,Delivery issue,0.2,No,5
T70474,WhatsApp,2026-08-26,10:00,Order status,12.0,No,3
T70475,Walk-in,2026-04-28,09:00,Account change,0.2,Yes,4
T70476,WhatsApp,2026-08-16,13:00,Product question,9.7,No,3
T70477,WhatsApp,2026-04-20,11:00,Order status,12.0,Yes,3
T70478,Phone,2026-09-20,09:00,Technical problem,0.2,No,5
T70479,WhatsApp,2026-09-21,13:00,Refund request,24.0,Yes,2
T70480,WhatsApp,2026-05-03,16:00,Complaint,11.6,No,3
T70481,Email,2026-05-01,08:00,Order status,73.2,Yes,1
T70482,WhatsApp,2026-09-15,17:00,Product question,19.8,No,2
T70483,WhatsApp,2026-09-25,17:00,Refund request,21.0,No,2
T70484,Phone,2026-08-03,14:00,Product question,0.3,No,5
T70485,Email,2026-06-04,16:00,Product question,15.8,Yes,3
T70486,Web form,2026-09-26,18:00,Refund request,8.8,No,5
T70487,Email,2026-09-12,16:00,Refund request,34.9,Yes,2
T70488,WhatsApp,2026-09-28,16:00,Technical problem,37.2,No,1
T70489,Email,2026-07-16,12:00,Refund request,32.4,No,2
T70490,WhatsApp,2026-06-22,13:00,Complaint,30.8,No,2
T70491,WhatsApp,2026-09-27,18:00,Refund request,13.8,No,3
T70492,WhatsApp,2026-07-28,15:00,Account change,26.2,Yes,2
T70493,Phone,2026-05-18,08:00,Technical problem,1.1,No,2
T70494,Email,2026-09-11,10:00,Complaint,7.8,No,4
T70495,Phone,2026-08-01,08:00,Delivery issue,0.4,Yes,4
T70496,Web form,2026-06-10,18:00,Order status,91.2,No,1
T70497,WhatsApp,2026-07-13,14:00,Complaint,5.8,Yes,4
T70498,Phone,2026-09-24,17:00,Delivery issue,0.7,No,3
T70499,Email,2026-08-02,09:00,Delivery issue,68.9,Yes,1
T70500,WhatsApp,2026-08-15,09:00,Delivery issue,24.7,Yes,2
T70501,Web form,2026-08-12,16:00,Technical problem,17.5,Yes,4
T70502,Phone,2026-07-01,12:00,Delivery issue,0.2,Yes,5
T70503,Walk-in,2026-09-22,15:00,Order status,0.3,Yes,4
T70504,Phone,2026-06-25,08:00,Order status,2.0,No,2
T70505,Walk-in,2026-06-28,12:00,Refund request,0.4,Yes,3
T70506,Phone,2026-06-19,12:00,Product question,0.9,Yes,3
T70507,Phone,2026-08-22,16:00,Refund request,0.3,No,5
T70508,Phone,2026-09-07,14:00,Refund request,1.1,No,3
T70509,Web form,2026-04-08,09:00,Refund request,23.8,Yes,3
T70510,Email,2026-05-18,12:00,Product question,61.7,Yes,1
T70511,Walk-in,2026-05-13,08:00,Refund request,0.2,Yes,5
T70512,Phone,2026-07-20,08:00,Technical problem,0.3,Yes,5
T70513,Phone,2026-06-06,17:00,Refund request,0.6,No,3
T70514,WhatsApp,2026-09-23,11:00,Delivery issue,27.9,No,2
T70515,Email,2026-09-28,18:00,Delivery issue,5.7,Yes,4
T70516,Phone,2026-04-21,14:00,Account change,0.9,Yes,3
T70517,WhatsApp,2026-07-25,09:00,Refund request,10.2,No,3
T70518,WhatsApp,2026-09-08,13:00,Order status,20.5,Yes,2
T70519,Email,2026-09-09,18:00,Order status,60.5,No,1
T70520,WhatsApp,2026-06-12,13:00,Order status,15.5,No,3
T70521,WhatsApp,2026-08-05,10:00,Delivery issue,14.6,No,3
T70522,WhatsApp,2026-04-11,16:00,Technical problem,20.1,No,2
T70348,Email,2026-05-17,08:00,Delivery issue,-3.5,Yes,1
T70523,Email,2026-06-18,13:00,Delivery issue,21.6,No,3
T70524,Email,2026-07-11,15:00,Order status,37.1,No,2
T70525,Walk-in,2026-06-04,10:00,Order status,0.4,No,3
T70526,Web form,2026-04-20,12:00,Account change,32.0,No,3
T70527,Web form,2026-05-28,15:00,Account change,13.9,Yes,4
T70528,WhatsApp,2026-07-15,13:00,Complaint,22.6,Yes,2
T70529,Phone,2026-04-26,09:00,Delivery issue,1.7,No,2
T70277,Phone,2026-04-22,12:00,Refund request,,Yes,3
T70530,Email,2026-05-22,18:00,Product question,26.2,No,3
T70531,Phone,2026-08-02,16:00,Complaint,0.4,No,4
T70532,Email,2026-06-16,08:00,Refund request,21.1,No,3
T70533,WhatsApp,2026-07-24,12:00,Account change,6.5,Yes,4
T70534,Email,2026-05-08,08:00,Refund request,17.4,No,3
T70535,Email,2026-07-17,17:00,Refund request,24.6,No,3
T70536,Email,2026-04-18,11:00,Complaint,51.7,Yes,2
T70537,WhatsApp,2026-09-11,12:00,Technical problem,19.5,No,3
T70538,Email,2026-08-15,13:00,Order status,25.5,No,3
T70539,Web form,2026-07-14,11:00,Delivery issue,35.7,No,3
T70540,Web form,2026-06-16,17:00,Complaint,36.9,No,3
T70541,Email,2026-09-17,13:00,Product question,23.0,Yes,3
T70542,Phone,2026-05-04,18:00,Account change,0.2,No,5
T70543,Email,2026-09-27,12:00,Account change,21.1,Yes,3
T70544,Web form,2026-06-26,09:00,Delivery issue,42.9,No,2
T70545,WhatsApp,2026-06-24,11:00,Refund request,4.2,No,5
T70546,Email,2026-04-06,16:00,Delivery issue,26.2,No,3
T70547,Phone,2026-04-18,15:00,Delivery issue,0.5,No,4
T70548,WhatsApp,2026-09-05,11:00,Product question,16.8,No,3
T70549,WhatsApp,2026-05-19,08:00,Technical problem,5.5,No,4
T70550,Phone,2026-07-17,08:00,Refund request,0.9,No,3
T70551,Phone,2026-09-19,10:00,Refund request,0.4,No,4
T70552,Email,2026-05-05,13:00,Account change,47.4,No,2
T70553,Email,2026-04-26,08:00,Technical problem,27.1,No,3
T70554,Phone,2026-07-16,12:00,Complaint,0.8,Yes,3
T70555,Email,2026-06-04,08:00,Delivery issue,12.9,No,4
T70556,WhatsApp,2026-09-14,08:00,Refund request,7.1,No,4
T70557,Walk-in,2026-05-14,15:00,Order status,0.7,No,2
T70558,WhatsApp,2026-06-08,08:00,Complaint,5.2,Yes,4
T70559,WhatsApp,2026-07-01,10:00,Refund request,10.5,Yes,3
T70560,Email,2026-08-24,09:00,Refund request,17.9,No,3
T70561,Phone,2026-07-24,17:00,Account change,0.4,No,4
T70562,Phone,2026-09-15,08:00,Complaint,0.3,No,5
T70563,WhatsApp,2026-06-24,11:00,Order status,8.0,No,4
T70564,Phone,2026-05-10,08:00,Product question,0.4,No,4
